title,id,language,ontologyId,resultType,address,position,access,distance,categories,references,foodTypes,contacts,openingHours
ផ្ទះសំណាក់ អង្គរសំរឹទ្ធិ,here:pds:place:116w63u5-06a212da6bbc4c719e12c6c830c80cba,km,here:cm:ontology:motel,place,"{'label': 'ផ្ទះសំណាក់ អង្គរសំរឹទ្ធិ, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.36676, 'lng': 103.85529}","[{'lat': 13.36686, 'lng': 103.85505}]",3590,"[{'id': '500-5000-0054', 'name': 'Motel', 'primary': True}]",,,[{'phone': [{'value': '+85516561112'}]}],
Angkor Sivutha Hotel,here:pds:place:116w63u5-dd46c79b387747f8b4b8f359f3c864c0,en,here:cm:ontology:motel,place,"{'label': 'Angkor Sivutha Hotel, 171203 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'គោកចក', 'postalCode': '171203'}","{'lat': 13.38473, 'lng': 103.85968}","[{'lat': 13.38486, 'lng': 103.8597}]",5611,"[{'id': '500-5000-0054', 'name': 'Motel', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17452305'}]",,"[{'phone': [{'value': '+85567978979'}], 'www': [{'value': 'https://www.facebook.com/AngkorSivuthaHotel'}]}]",
Singing Crocodile House,here:pds:place:116w63gg-f5eeb4b60e184d67a531a6add3d47ff4,en,here:cm:ontology:guest_house,place,"{'label': 'Singing Crocodile House, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.33577, 'lng': 103.85082}","[{'lat': 13.3358, 'lng': 103.85096}]",466,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12215653'}]",,,
Don Bosco & Vary Guesthouse,here:pds:place:116w63gg-159f297155e7405ca7d0aa81521734c3,en,here:cm:ontology:guest_house,place,"{'label': 'Don Bosco & Vary Guesthouse, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'postalCode': '171209'}","{'lat': 13.32922, 'lng': 103.84893}","[{'lat': 13.32927, 'lng': 103.84871}]",873,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}, {'id': '500-5100-0000', 'name': 'Lodging'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '15300085'}]",,"[{'phone': [{'value': '+85516427999'}], 'www': [{'value': 'https://www.facebook.com/rainsey.ramsey', 'categories': [{'id': '500-5100-0000'}]}]}]",
Angkor Dream Villa,here:pds:place:116aabd1-46cae830929d0a43f1c0d8908bab21c2,en,here:cm:ontology:guest_house,place,"{'label': 'Angkor Dream Villa, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34315, 'lng': 103.85287}","[{'lat': 13.3431, 'lng': 103.853}]",989,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1936084'}]",,[{'phone': [{'value': '+85598870989'}]}],
Popular Residence Hotel,here:pds:place:116aabd1-c34d53e9ad43012c3131b49279ab976d,en,here:cm:ontology:guest_house,place,"{'label': 'Popular Residence Hotel, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34052, 'lng': 103.86436}","[{'lat': 13.34043, 'lng': 103.86426}]",1222,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}, {'id': '500-5000-0053', 'name': 'Hotel'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '7303400'}, {'supplier': {'id': 'tripadvisor'}, 'id': '7355172'}]",,"[{'phone': [{'value': '+85510916165', 'categories': [{'id': '500-5100-0057'}]}, {'value': '+85516783425'}]}]",
Homestay Watchork,here:pds:place:116aabd1-8020d096676200f433a21ceb8c4179fc,en,here:cm:ontology:guest_house,place,"{'label': 'Homestay Watchork, ផ្លូវ ថ្មមាស, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវ ថ្មមាស', 'postalCode': '171204'}","{'lat': 13.34282, 'lng': 103.86283}","[{'lat': 13.34284, 'lng': 103.86269}]",1262,"[{'id': '500-5100-0057', 'name': 'Guest House', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12077715'}]",,"[{'phone': [{'value': '+85593738027'}], 'www': [{'value': 'https://www.facebook.com/Homestay-Watchork-1899599140262310'}]}]",
Cambodia Traditional Wooden House,here:pds:place:116w63gg-d5b7c475671c4443b9339068d3f068d8,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Cambodia Traditional Wooden House, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.33576, 'lng': 103.85082}","[{'lat': 13.33579, 'lng': 103.85096}]",466,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '12424526'}]",,[{'phone': [{'value': '+85517650808'}]}],
Sakura Home,here:pds:place:116w63gg-f3d620571ebc4b3dbc80fb15abc314ae,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Sakura Home, ផ្លូវខេត្ត 2អេសអ3, 171209 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សៀមរាប', 'street': 'ផ្លូវខេត្ត 2អេសអ3', 'postalCode': '171209'}","{'lat': 13.33411, 'lng': 103.8503}","[{'lat': 13.33402, 'lng': 103.8503}]",502,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '20864599'}]",,,
Borei Hang Tep Residence & Spa,here:pds:place:116w63gg-48da1d18f0864c99a824e711e039506b,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Borei Hang Tep Residence & Spa, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34385, 'lng': 103.85045}","[{'lat': 13.34388, 'lng': 103.85032}]",1149,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '15141931'}]",,"[{'phone': [{'value': '+85570777788'}], 'www': [{'value': 'http://www.boreihangtep.com'}]}]",
Kim & Nic's Lodge,here:pds:place:116w63gg-6799a72603634e14b4e6c6c2b3ce65c7,en,here:cm:ontology:bed_and_breakfast,place,"{'label': ""Kim & Nic's Lodge, វិថី សាលាកម្រើក, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.34356, 'lng': 103.86169}","[{'lat': 13.34356, 'lng': 103.86168}]",1247,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '13532953'}]",,[{'phone': [{'value': '+85570604036'}]}],
Chez Tel,here:pds:place:116w63gg-df4be885ef1146b09cde8d7483581b85,en,here:cm:ontology:bed_and_breakfast,place,"{'label': 'Chez Tel, ផ្លូវជាតិ 63, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171204'}","{'lat': 13.34721, 'lng': 103.85363}","[{'lat': 13.34718, 'lng': 103.85376}]",1422,"[{'id': '500-5100-0058', 'name': 'Bed and Breakfast', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '17673358'}]",,"[{'phone': [{'value': '+85512726939'}], 'www': [{'value': 'http://www.cheztel.com'}]}]",
Budha Statue,here:pds:place:116w63gg-65fc294e4df9470aaec148d513360b0c,en,here:cm:ontology:museum,place,"{'label': 'Budha Statue, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35233, 'lng': 103.86103}","[{'lat': 13.3522, 'lng': 103.86098}]",2092,"[{'id': '300-3100-0029', 'name': 'Art Museum', 'primary': True}]",,,[{'phone': [{'value': '+855962164720'}]}],
Banteay Srey Butterfly Centre,here:pds:place:116w63uv-9ef332446d624d2286139407dc38de7c,en,here:cm:ontology:museum,place,"{'label': 'Banteay Srey Butterfly Centre, ផ្លូវ 8-ប៉េ អ៊ុយ បេ, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ 8-ប៉េ អ៊ុយ បេ', 'postalCode': '171202'}","{'lat': 13.35477, 'lng': 103.85468}","[{'lat': 13.35476, 'lng': 103.85469}]",2256,"[{'id': '300-3100-0000', 'name': 'Museum', 'primary': True}]",,,,
Tamjet Kids,here:pds:place:116w63gg-884e4daa8113fc6f1fc334b14eb8e5e0,en,here:cm:ontology:museum,place,"{'label': 'Tamjet Kids, វិថី វត្តបូ, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'វិថី វត្តបូ', 'postalCode': '171204'}","{'lat': 13.35477, 'lng': 103.85927}","[{'lat': 13.35481, 'lng': 103.85918}]",2305,"[{'id': '300-3100-0027', 'name': ""Children's Museum"", 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25291354'}]",,[{'phone': [{'value': '+85512308027'}]}],
Seam Reab Angkor Wat,here:pds:place:116w63u5-ed8739917378403683daa9c0cc2904ba,en,here:cm:ontology:museum,place,"{'label': 'Seam Reab Angkor Wat, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.36065, 'lng': 103.86551}","[{'lat': 13.36065, 'lng': 103.86537}]",3127,"[{'id': '300-3100-0028', 'name': 'History Museum', 'primary': True}, {'id': '700-7460-0115', 'name': 'Tourist Information'}]",,,,
Viemean Sokha Museum,here:pds:place:116w63u5-016489aa1d7ab45d5fca3eafe0f2b833,en,here:cm:ontology:museum,place,"{'label': 'Viemean Sokha Museum, ផ្លូវជាតិ 63, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវជាតិ 63', 'postalCode': '171202'}","{'lat': 13.36315, 'lng': 103.85647}","[{'lat': 13.36321, 'lng': 103.85634}]",3192,"[{'id': '300-3100-0029', 'name': 'Art Museum', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '25250277'}]",,[{'phone': [{'value': '+85585711979'}]}],"[{'text': ['Mon-Thu, Sat, Sun: 09:30 - 18:00', 'Fri: 10:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T093000', 'duration': 'PT08H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,SA,SU'}, {'start': 'T100000', 'duration': 'PT08H00M', 'recurrence': 'FREQ:DAILY;BYDAY:FR'}]}]"
King's Road Angkor,here:pds:place:116aabd1-3644f2f6292508e6906fddbb841c109e,en,here:cm:ontology:tourist_attraction,place,"{'label': ""King's Road Angkor, ផ្លូវ 7 មករ, 171204 សៀមរាប, កម្ពុជា"", 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'street': 'ផ្លូវ 7 មករ', 'postalCode': '171204'}","{'lat': 13.35288, 'lng': 103.85705}","[{'lat': 13.35275, 'lng': 103.857}]",2059,"[{'id': '300-3000-0023', 'name': 'Tourist Attraction', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '6556656'}]",,[{'phone': [{'value': '+85593811800'}]}],"[{'categories': [{'id': '300-3000-0023'}], 'text': ['Mon-Sun: 07:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT16H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Pub Street,here:pds:place:116aabd1-9fbd0d5a949a0218feb86a260c67ef9d,en,here:cm:ontology:tourist_attraction,place,"{'label': 'Pub Street, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.35216, 'lng': 103.86105}","[{'lat': 13.35217, 'lng': 103.86105}]",2075,"[{'id': '300-3000-0023', 'name': 'Tourist Attraction', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1997901'}]",,,"[{'text': ['Mon-Sun: 00:00 - 23:30'], 'isOpen': True, 'structured': [{'start': 'T000000', 'duration': 'PT23H30M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
Hor Sopheak,here:pds:place:116w63gg-32baab5131ac841bfe113b37f42e7c06,en,here:cm:ontology:tourist_attraction,place,"{'label': 'Hor Sopheak, ផ្លូវ ស្ទឹងថ្មី, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'street': 'ផ្លូវ ស្ទឹងថ្មី', 'postalCode': '171202'}","{'lat': 13.35223, 'lng': 103.84859}","[{'lat': 13.35224, 'lng': 103.84856}]",2089,"[{'id': '300-3000-0023', 'name': 'Tourist Attraction', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '21027975'}]",,"[{'phone': [{'value': '+85569510141'}], 'www': [{'value': 'http://www.kohker-bengmealea.com'}]}]",
Wat Preah Prom Rath,here:pds:place:116aabd1-3a943b13502107ecff6032f0b1d4f940,en,here:cm:ontology:tourist_attraction,place,"{'label': 'Wat Preah Prom Rath, 171204 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'សាលាកម្រើក', 'postalCode': '171204'}","{'lat': 13.3548, 'lng': 103.85735}","[{'lat': 13.35485, 'lng': 103.85722}]",2275,"[{'id': '300-3000-0023', 'name': 'Tourist Attraction', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '4674851'}]",,[{'www': [{'value': 'http://www.siemreappost.com/preah-prohm-rath'}]}],
Quad Adventure Cambodia Siem Reap,here:pds:place:116w63gg-dbef622bb60e47b9bc68f55fa70bba0f,en,here:cm:ontology:tourist_attraction,place,"{'label': 'Quad Adventure Cambodia Siem Reap, 171202 សៀមរាប, កម្ពុជា', 'countryCode': 'KHM', 'countryName': 'កម្ពុជា', 'county': 'សៀមរាម', 'city': 'សៀមរាប', 'district': 'ស្វាយដង្គំ', 'postalCode': '171202'}","{'lat': 13.34791, 'lng': 103.83794}","[{'lat': 13.34779, 'lng': 103.83791}]",2368,"[{'id': '300-3000-0023', 'name': 'Tourist Attraction', 'primary': True}]","[{'supplier': {'id': 'tripadvisor'}, 'id': '1102505'}]",,"[{'phone': [{'value': '+85517784727'}], 'www': [{'value': 'http://www.quad-adventure-cambodia.com'}]}]","[{'text': ['Mon-Sun: 07:00 - 18:00'], 'isOpen': True, 'structured': [{'start': 'T070000', 'duration': 'PT11H00M', 'recurrence': 'FREQ:DAILY;BYDAY:MO,TU,WE,TH,FR,SA,SU'}]}]"
